Region,Province,Annual Per Capita Poverty Threshold,Poverty Incidence Among Families (%),Magnitude of Poor Families,year, Annual Per Capita Poverty Threshold, Poverty Incidence Among Families (%)
NCR,1st District,28682.0,2.0,9.01,2018,,
NCR,2nd District,28682.0,1.0,16.47,2018,,
NCR,3rd District,28682.0,2.0,15.11,2018,,
NCR,4th District,28682.0,1.0,7.0,2018,,
CAR,Abra,23596.0,15.0,8.19,2018,,
CAR,Apayao,23135.0,16.0,4.27,2018,,
CAR,Benguet,24158.0,4.0,9.09,2018,,
CAR,Ifugao,26429.0,10.0,4.46,2018,,
CAR,Kalinga,24219.0,9.0,4.03,2018,,
CAR,Mt. Province,27815.0,17.0,6.31,2018,,
Region I ,Ilocos Norte,26711.0,3.0,4.49,2018,,
Region I ,Ilocos Sur,24603.0,6.0,8.96,2018,,
Region I ,La Union,22456.0,3.0,5.5,2018,,
Region I ,Pangasinan,27828.0,9.0,66.2,2018,,
Region II,Batanes,37540.0,7.0,0.33,2018,,
Region II,Cagayan,24759.0,13.0,35.84,2018,,
Region II,Isabela,25460.0,13.0,51.92,2018,,
Region II,Nueva Vizcaya,24857.0,12.0,14.16,2018,,
Region II,Quirino,23580.0,9.0,4.04,2018,,
Region III,Aurora,25219.0,12.0,6.1,2018,,
Region III,Bataan,29496.0,6.0,10.93,2018,,
Region III,Bulacan,27244.0,4.0,28.74,2018,,
Region III,Nueva Ecija,25466.0,7.0,35.25,2018,,
Region III,Pampanga,26633.0,2.0,13.88,2018,,
Region III,Tarlac,25386.0,8.0,25.26,2018,,
Region III,Zambales,29977.0,11.0,23.21,2018,,
Region IV-A,Batangas,33068.0,9.0,58.42,2018,,
Region IV-A,Cavite,29157.0,4.0,36.77,2018,,
Region IV-A,Laguna,23688.0,3.0,23.23,2018,,
Region IV-A,Quezon,22805.0,9.0,48.35,2018,,
Region IV-A,Rizal,28647.0,3.0,23.65,2018,,
MIMAROPA,Marinduque,24054.0,10.0,5.59,2018,,
MIMAROPA,Occidental Mindoro,21341.0,16.0,19.33,2018,,
MIMAROPA,Oriental Mindoro,24470.0,7.0,14.69,2018,,
MIMAROPA,Palawan,23425.0,8.0,23.59,2018,,
MIMAROPA,Romblon,24087.0,20.0,14.15,2018,,
Region V,Albay,24902.0,15.0,43.42,2018,,
Region V,Camarines Norte,25051.0,22.0,30.88,2018,,
Region V,Camarines Sur,24271.0,21.0,88.34,2018,,
Region V,Catanduanes,24380.0,14.0,8.2,2018,,
Region V,Masbate,22911.0,26.0,51.07,2018,,
Region V,Sorsogon,26069.0,20.0,34.36,2018,,
Region VI,Aklan,23745.0,9.0,12.59,2018,,
Region VI,Antique,24023.0,13.0,17.77,2018,,
Region VI,Capiz,22669.0,4.0,7.9,2018,,
Region VI,Guimaras,25899.0,7.0,2.96,2018,,
Region VI,Iloilo,26113.0,12.0,68.98,2018,,
NIR,Negros Occidental,23692.0,15.0,108.07,2018,,
NIR,Negros Oriental,25113.0,19.0,63.15,2018,,
NIR,Siquijor,25649.0,7.0,1.73,2018,,
Region VII,Bohol,26108.0,16.0,47.36,2018,,
Region VII,Cebu,25914.0,11.0,133.95,2018,,
Region VIII,Biliran,24216.0,14.0,5.63,2018,,
Region VIII,Eastern Samar,29070.0,41.0,47.96,2018,,
Region VIII,Leyte,23574.0,22.0,107.04,2018,,
Region VIII,Northern Samar,25971.0,28.0,37.13,2018,,
Region VIII,Southern Leyte,25756.0,17.0,16.37,2018,,
Region VIII,Samar,23131.0,22.2,39.21,2018,,
Region IX,Zamboanga del Norte,28523.0,37.0,87.2,2018,,
Region IX,Zamboanga del Sur,23977.0,17.0,74.19,2018,,
Region IX,Zamboanga Sibugay,23054.0,27.0,41.36,2018,,
Region IX,Isabela City,25870.0,42.0,10.24,2018,,
Region X,Bukidnon,25624.0,22.0,73.42,2018,,
Region X,Camiguin,26042.0,18.0,3.81,2018,,
Region X,Lanao del Norte,24450.0,19.0,44.26,2018,,
Region X,Misamis Occidental,24505.0,20.0,27.3,2018,,
Region X,Misamis Oriental,24118.0,11.0,45.42,2018,,
Region XI,Davao del Norte,27034.0,10.0,24.98,2018,,
Region XI,Davao del Sur,25807.0,8.0,51.71,2018,,
Region XI,Davao Oriental,26347.0,28.0,21.55,2018,,
Region XI,Davao de Oro,25867.0,18.6,33.23,2018,,
Region XI,Davao Occidental,25356.0,31.9,47.02,2018,,
